Assembly,AssyKg,AssyLength,AssyQty,BlackPregal,Cope,CutLength,Description,FabRqd,Finish,HasHoles,KgPerProfile,KgTotal,Mitre,ParentPart,Part,PartType,ProcessNote,Profile,QtyPerAssy,QtyTotal,Revision,SalesOrder,ScopeId,SideCleat,Splay,StdPart,Stock,SurfaceArea,Welding,WSBs
B1,390,7000,1,NULL,0,217,PFC250*90,NULL,PRIMED,0,9,9,0,m1,GK4,Component,NULL,GK4,3,3,B,J156009,3,0,0,1,NONE,NULL,1,1
B1,390,7000,1,NULL,0,7000,PFC250*90,NULL,PRIMED,1,248,248,0,NULL,m1,MainBeam,NULL,PFC250*90,1,1,B,J156009,3,0,0,0,BLACK,NULL,1,1
B1,390,7000,1,NULL,0,5400,PFC250*90,NULL,NONE,1,127,127,0,m1,m2,Beam,NULL,SMART COMPI-BAR,1,1,B,J156009,3,0,0,0,PREGAL,NULL,1,1
B10,19,1073,1,PREGAL,1,1073,UA150*100*10,NULL,PREGAL,1,19,19,0,NULL,m11,MainBeam,NULL,UA150*100*10,1,1,B,J156009,3,0,0,0,PREGAL,NULL,0,0
B11,31,1740,1,PREGAL,0,1740,UA150*100*10,NULL,PREGAL,0,31,31,0,NULL,m12,MainBeam,NULL,UA150*100*10,1,1,B,J156009,3,0,0,0,PREGAL,NULL,0,0
B12,260,5070,1,NULL,0,5070,PFC250*90,NULL,PRIMED,1,180,180,0,NULL,m6,MainBeam,NULL,PFC250*90,1,1,B,J156009,3,0,0,0,BLACK,NULL,1,0
B12,260,5070,1,NULL,0,5070,PFC250*90,NULL,PRIMED,1,80,80,0,m6,m7,Beam,NULL,FL10*200,1,1,B,J156009,3,0,0,0,BLACK,NULL,1,0
B13,45,1430,1,NULL,0,1430,SMART TBAR 200X10(H) 200X10(V),NULL,PREGAL,0,45,45,0,NULL,m14,MainBeam,NULL,SMART TBAR 200X10(H) 200X10(V),1,1,B,J156009,3,0,0,0,PREGAL,NULL,0,0
B14,109,3470,1,NULL,0,3470,SMART TBAR 200X10(H) 200X10(V),NULL,PREGAL,0,109,109,0,NULL,m13,MainBeam,NULL,SMART TBAR 200X10(H) 200X10(V),1,1,B,J156009,3,0,0,0,PREGAL,NULL,0,0
B15,45,1430,1,NULL,0,1430,SMART TBAR 200X10(H) 200X10(V),NULL,PREGAL,0,45,45,0,NULL,m14,MainBeam,NULL,SMART TBAR 200X10(H) 200X10(V),1,1,B,J156009,3,0,0,0,PREGAL,NULL,0,0
